Question,Answer,Class
"Is FD interest taxable?","Yes. TDS applies if interest exceeds ₹40,000 (₹50,000 for seniors).",investments
"How to get FD statement?","Download FD certificate or statement from net banking.",investments
"Can I use FD as loan collateral?","Yes. Pledge FD to avail a loan up to 90% of FD value.",investments
"How to change FD nominee?","Submit a written request at any KKT Bank Chennai branch.",investments
"Can I convert FD to sweep-in account?","Yes. Visit branch to link FD with your savings account.",investments
"How to calculate FD interest for senior citizens?","Apply senior rate of 0.5% extra on standard rates.",investments
"How do I reset my internet banking password?","Click ‘Forgot Password’ on login page and follow steps.",security
"How to enable two-factor authentication?","Use mobile app settings to enable 2FA for net banking.",security
"What to do if I receive a phishing email?","Do not click links and report to KKT Bank fraud team.",security
"How can I report a suspicious transaction?","Call KKT Bank fraud helpline immediately at 044-XXXXXXX.",security
"How to update registered mobile number?","Submit mobile update form at any KKT Bank Chennai branch.",security
"What is MPIN for mobile banking?","4-digit password to authenticate transactions on KKT mobile app.",security
"Why did my OTP not arrive?","Ensure network connectivity and correct mobile number; request again after 2 minutes.",security
"How to set transaction limit for net banking?","Visit net banking’s ‘Profile’ section to set daily transaction limits.",security
"Can I block net banking access temporarily?","Yes. Use mobile app’s ‘Block Services’ or call customer care.",security
"How to logout securely?","Always click ‘Logout’ and close browser after net banking session.",security
"What are secure password tips?","Use alphanumeric, 8+ characters, and change every 90 days.",security
"Should I share OTP with anyone?","Never. KKT Bank will never ask for your OTP.",security
"How to use KKT Bank on public Wi-Fi safely?","Use VPN or avoid transactions on unsecured networks.",security
"How to enable fingerprint login on mobile app?","Go to mobile app settings and enable biometric authentication.",security
"What is a fraud alert?","Notification sent for suspected fraudulent transactions to your mobile.",security
"How to report a compromised card?","Call KKT Bank 24x7 helpline immediately to block your card.",security
